"Feature Name","Tool / Module","Description of AI Action","User Triggered or Automatic","Estimated Compute Intensity"
"Race Team Branding Kit — Branding Images","AITools.js + backend/routes/ai.py (race_team_branding, /ai/generate-images)","Generates visual race-team branding concepts","User","High"
"Product Description Generator","Products.js + backend/routes/ai.py (/ai/generate-product-description)","Writes e-commerce product descriptions, headlines, bullet points, and CTA text","User","Medium"
"AI Pricing Advisor","PricingCalculator.js + backend/routes/ai.py (pricing_advisor, /ai/generate)","Reviews a calculator result and returns pricing recommendations and upsell/margin advice","User","Low"
"AI Draft — Invoice Send","AIEmailComposer.js + backend/routes/ai.py (/ai/generate-email, invoice_send)","Drafts an invoice-send email to a customer","User","Low"
"AI Draft — Invoice Reminder","AIEmailComposer.js + backend/routes/ai.py (/ai/generate-email, invoice_reminder)","Drafts a polite payment reminder email","User","Low"
"AI Draft — Invoice Overdue Notice","AIEmailComposer.js + backend/routes/ai.py (/ai/generate-email, invoice_overdue)","Drafts a firm overdue-payment notice","User","Low"
"AI Draft — Quote Send","AIEmailComposer.js + backend/routes/ai.py (/ai/generate-email, quote_send)","Drafts an email to send a quote or estimate","User","Low"
"AI Draft — Quote Follow-Up","AIEmailComposer.js + backend/routes/ai.py (/ai/generate-email, quote_followup)","Drafts a follow-up email for an unanswered quote","User","Low"
"AI Draft — Approval Request","AIEmailComposer.js + backend/routes/ai.py (/ai/generate-email, approval_request)","Drafts an artwork or design approval request email","User","Low"
"AI Draft — Job Update","AIEmailComposer.js + backend/routes/ai.py (/ai/generate-email, job_update)","Drafts a job-progress update email","User","Low"
"AI Draft — Job Complete","AIEmailComposer.js + backend/routes/ai.py (/ai/generate-email, job_complete)","Drafts a completion or ready-for-pickup email","User","Low"
"AI Draft — Thank You","AIEmailComposer.js + backend/routes/ai.py (/ai/generate-email, thank_you)","Drafts a thank-you or post-job follow-up email","User","Low"
"Floating Assistant Chat","FloatingAssistant.js + backend/routes/ai.py (/ai/assistant)","Provides always-available conversational AI help inside the main app shell","User","Medium"
"Floating Assistant Intent Parser — Create Job","FloatingAssistant.js + backend/routes/ai.py (/ai/assistant/parse-action)","Uses AI to extract structured job-creation parameters from natural language","User","Low"
"Floating Assistant Intent Parser — Schedule Appointment","FloatingAssistant.js + backend/routes/ai.py (/ai/assistant/parse-action)","Uses AI to extract calendar-event parameters from natural language","User","Low"
"Floating Assistant Intent Parser — Log Time Entry","FloatingAssistant.js + backend/routes/ai.py (/ai/assistant/parse-action)","Uses AI to extract time-entry details from natural language","User","Low"
"Tagline Generator","backend/routes/ai.py (hidden backend tool: tagline_generator)","Generates multiple tagline and slogan options for a brand","User","Low"
"Brand Color Advisor","backend/routes/ai.py (hidden backend tool: brand_color_advisor)","Recommends brand color palettes and usage guidance","User","Low"
"Brand Voice Guide","backend/routes/ai.py (hidden backend tool: brand_voice_guide)","Creates written brand voice and tone guidance with messaging direction","User","Low"
"Proposal Writer","backend/routes/ai.py (hidden backend tool: proposal_writer)","Drafts professional sign project proposals","User","Medium"
"Review Responder","backend/routes/ai.py (hidden backend tool: review_responder)","Drafts responses to customer reviews","User","Low"
"Email Templates Generator","backend/routes/ai.py (hidden backend tool: email_templates)","Generates reusable sign-shop email templates in batches","User","Medium"
"SEO Content Writer","backend/routes/ai.py (hidden backend tool: seo_content)","Writes SEO-focused website and service-page content","User","Medium"
"Showcase Post Generator","backend/routes/ai.py (hidden backend tool: showcase_post)","Creates showcase-style social captions and hashtags for completed work","User","Medium"
"Historical Invoice PDF Line Extraction","PricingSetup.js + backend/routes/pricing_setup.py (ai_extract_pdf_rows)","Extracts structured invoice line items from PDF text during historical invoice import","Automatic","High"
"Historical Invoice Benchmark Insight Synthesis","PricingSetup.js + backend/routes/pricing_setup.py (ai_analyze_category_metrics)","Synthesizes pricing benchmark observations, pattern notes, and confidence reasons from imported invoice aggregates","Automatic","Medium"
"Summary","Total AI Features Found","58","",""
"Summary","Low Compute Features","19","",""
"Summary","Medium Compute Features","27","",""
"Summary","High Compute Features","12","",""
